ID,Уровень,Родительский раздел,Название страницы,Итоговый URL,H1,Title,Description,Тип страницы,Индексируемость,Schema.org,Приоритет,Этап разработки,Статус публикации,Решение,Входящие внутренние ссылки,Исходящие внутренние ссылки
150,3,Вебстудия Raskrutov,Веб-студия в Кокшетау,/web-studiya/kokshetau,Веб-студия в Кокшетау,"Веб-студия в Кокшетау: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Кокшетау: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-kokshetau; /web-studiya/dizayn/kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau; /web-studiya/aeo-geo-prodvizhenie/kokshetau; /web-studiya/kontekstnaya-reklama/kokshetau; /web-studiya/lidogeneratsiya/kokshetau; /web-studiya/podderzhka-saytov/kokshetau; /web-studiya/digital-konsalting/kokshetau,/web-studiya; /sozdanie-saitov-v-kokshetau; /web-studiya/dizayn/kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau; /web-studiya/aeo-geo-prodvizhenie/kokshetau; /web-studiya/kontekstnaya-reklama/kokshetau; /web-studiya/lidogeneratsiya/kokshetau; /web-studiya/podderzhka-saytov/kokshetau; /web-studiya/digital-konsalting/kokshetau
151,3,Создание сайтов,Создание сайтов в Кокшетау,/sozdanie-saitov-v-kokshetau,Создание сайтов в Кокшетау,Создание сайтов в Кокшетау под ключ | Raskrutov,"Создаём сайты для бизнеса в Кокшетау: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov; /web-studiya/kokshetau,/sozdanie-saitov; /web-studiya/kokshetau; /keysy/sayty; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
152,3,Услуги дизайнера,Услуги дизайнера в Кокшетау,/web-studiya/dizayn/kokshetau,Услуги дизайнера и веб-дизайн в Кокшетау,Услуги дизайнера в Кокшетау | Raskrutov,"Дизайн для бизнеса в Кокшетау: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/kokshetau,/web-studiya/dizayn; /web-studiya/kokshetau; /keysy/sayty; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
153,3,SEO-продвижение,SEO-продвижение сайтов в Кокшетау,/seo-prodvizhenie-sajtov-v-kokshetau,SEO-продвижение сайтов в Кокшетау,SEO-продвижение сайтов в Кокшетау | Raskrutov,"SEO-продвижение сайтов компаний в Кокшетау: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /seo-prodvizhenie-sajtov; /web-studiya/kokshetau,/seo-prodvizhenie-sajtov; /web-studiya/kokshetau; /keysy/prodvizhenie; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
154,3,AEO-продвижение,AEO/GEO-продвижение в Кокшетау,/web-studiya/aeo-geo-prodvizhenie/kokshetau,AEO и GEO-продвижение в AI-выдаче в Кокшетау,AEO/GEO-продвижение в Кокшетау | Raskrutov,"Продвигаем компании из Кокшетау в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/kokshetau,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/kokshetau; /keysy/prodvizhenie; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
155,3,Контекстная реклама,Контекстная реклама в Кокшетау,/web-studiya/kontekstnaya-reklama/kokshetau,Контекстная реклама в Кокшетау,Контекстная реклама в Кокшетау | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Кокшетау: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/kokshetau,/web-studiya/kontekstnaya-reklama; /web-studiya/kokshetau; /keysy/prodvizhenie; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
156,3,Лидогенерация,Лидогенерация в Кокшетау,/web-studiya/lidogeneratsiya/kokshetau,Лидогенерация для бизнеса в Кокшетау,Лидогенерация в Кокшетау | Raskrutov,"Привлекаем целевые заявки для бизнеса в Кокшетау: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/kokshetau,/web-studiya/lidogeneratsiya; /web-studiya/kokshetau; /keysy; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
157,3,Поддержка сайтов,Поддержка сайтов в Кокшетау,/web-studiya/podderzhka-saytov/kokshetau,Техническая поддержка сайтов в Кокшетау,Поддержка сайтов в Кокшетау | Raskrutov,"Техническая поддержка сайтов компаний в Кокшетау: обновления, безопасность, резервные копии, исправления и развитие проекта.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/kokshetau,/web-studiya/podderzhka-saytov; /web-studiya/kokshetau; /keysy/sayty; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
158,3,Digital-консалтинг,Digital-консалтинг в Кокшетау,/web-studiya/digital-konsalting/kokshetau,Digital-консалтинг для бизнеса в Кокшетау,Digital-консалтинг в Кокшетау | Raskrutov,"Digital-консалтинг для бизнеса в Кокшетау: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кокшетау), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/digital-konsalting; /web-studiya/kokshetau,/web-studiya/digital-konsalting; /web-studiya/kokshetau; /keysy; /sozdanie-saitov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kokshetau
159,3,Вебстудия Raskrutov,Веб-студия в Костанае,/web-studiya/kostanay,Веб-студия в Костанае,"Веб-студия в Костанае: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Костанае: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-kostanae; /web-studiya/dizayn/kostanay; /seo-prodvizhenie-sajtov-v-kostanae; /web-studiya/aeo-geo-prodvizhenie/kostanay; /web-studiya/kontekstnaya-reklama/kostanay; /web-studiya/lidogeneratsiya/kostanay; /web-studiya/podderzhka-saytov/kostanay; /web-studiya/digital-konsalting/kostanay,/web-studiya; /sozdanie-saitov-v-kostanae; /web-studiya/dizayn/kostanay; /seo-prodvizhenie-sajtov-v-kostanae; /web-studiya/aeo-geo-prodvizhenie/kostanay; /web-studiya/kontekstnaya-reklama/kostanay; /web-studiya/lidogeneratsiya/kostanay; /web-studiya/podderzhka-saytov/kostanay; /web-studiya/digital-konsalting/kostanay
160,3,Создание сайтов,Создание сайтов в Костанае,/sozdanie-saitov-v-kostanae,Создание сайтов в Костанае,Создание сайтов в Костанае под ключ | Raskrutov,"Создаём сайты для бизнеса в Костанае: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov; /web-studiya/kostanay,/sozdanie-saitov; /web-studiya/kostanay; /keysy/sayty; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
161,3,Услуги дизайнера,Услуги дизайнера в Костанае,/web-studiya/dizayn/kostanay,Услуги дизайнера и веб-дизайн в Костанае,Услуги дизайнера в Костанае | Raskrutov,"Дизайн для бизнеса в Костанае: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/kostanay,/web-studiya/dizayn; /web-studiya/kostanay; /keysy/sayty; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
162,3,SEO-продвижение,SEO-продвижение сайтов в Костанае,/seo-prodvizhenie-sajtov-v-kostanae,SEO-продвижение сайтов в Костанае,SEO-продвижение сайтов в Костанае | Raskrutov,"SEO-продвижение сайтов компаний в Костанае: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /seo-prodvizhenie-sajtov; /web-studiya/kostanay,/seo-prodvizhenie-sajtov; /web-studiya/kostanay; /keysy/prodvizhenie; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
163,3,AEO-продвижение,AEO/GEO-продвижение в Костанае,/web-studiya/aeo-geo-prodvizhenie/kostanay,AEO и GEO-продвижение в AI-выдаче в Костанае,AEO/GEO-продвижение в Костанае | Raskrutov,"Продвигаем компании из Костанай в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/kostanay,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/kostanay; /keysy/prodvizhenie; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
164,3,Контекстная реклама,Контекстная реклама в Костанае,/web-studiya/kontekstnaya-reklama/kostanay,Контекстная реклама в Костанае,Контекстная реклама в Костанае | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Костанае: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/kostanay,/web-studiya/kontekstnaya-reklama; /web-studiya/kostanay; /keysy/prodvizhenie; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
165,3,Лидогенерация,Лидогенерация в Костанае,/web-studiya/lidogeneratsiya/kostanay,Лидогенерация для бизнеса в Костанае,Лидогенерация в Костанае | Raskrutov,"Привлекаем целевые заявки для бизнеса в Костанае: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/kostanay,/web-studiya/lidogeneratsiya; /web-studiya/kostanay; /keysy; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
166,3,Поддержка сайтов,Поддержка сайтов в Костанае,/web-studiya/podderzhka-saytov/kostanay,Техническая поддержка сайтов в Костанае,Поддержка сайтов в Костанае | Raskrutov,"Техническая поддержка сайтов компаний в Костанае: обновления, безопасность, резервные копии, исправления и развитие проекта.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/kostanay,/web-studiya/podderzhka-saytov; /web-studiya/kostanay; /keysy/sayty; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
167,3,Digital-консалтинг,Digital-консалтинг в Костанае,/web-studiya/digital-konsalting/kostanay,Digital-консалтинг для бизнеса в Костанае,Digital-консалтинг в Костанае | Raskrutov,"Digital-консалтинг для бизнеса в Костанае: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Костанай), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/digital-konsalting; /web-studiya/kostanay,/web-studiya/digital-konsalting; /web-studiya/kostanay; /keysy; /sozdanie-saitov-v-kostanae; /seo-prodvizhenie-sajtov-v-kostanae
168,3,Вебстудия Raskrutov,Веб-студия в Кызылорде,/web-studiya/kyzylorda,Веб-студия в Кызылорде,"Веб-студия в Кызылорде: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Кызылорде: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-kyzylorde; /web-studiya/dizayn/kyzylorda; /seo-prodvizhenie-sajtov-v-kyzylorde; /web-studiya/aeo-geo-prodvizhenie/kyzylorda; /web-studiya/kontekstnaya-reklama/kyzylorda; /web-studiya/lidogeneratsiya/kyzylorda; /web-studiya/podderzhka-saytov/kyzylorda; /web-studiya/digital-konsalting/kyzylorda,/web-studiya; /sozdanie-saitov-v-kyzylorde; /web-studiya/dizayn/kyzylorda; /seo-prodvizhenie-sajtov-v-kyzylorde; /web-studiya/aeo-geo-prodvizhenie/kyzylorda; /web-studiya/kontekstnaya-reklama/kyzylorda; /web-studiya/lidogeneratsiya/kyzylorda; /web-studiya/podderzhka-saytov/kyzylorda; /web-studiya/digital-konsalting/kyzylorda
169,3,Создание сайтов,Создание сайтов в Кызылорде,/sozdanie-saitov-v-kyzylorde,Создание сайтов в Кызылорде,Создание сайтов в Кызылорде под ключ | Raskrutov,"Создаём сайты для бизнеса в Кызылорде: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov; /web-studiya/kyzylorda,/sozdanie-saitov; /web-studiya/kyzylorda; /keysy/sayty; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
170,3,Услуги дизайнера,Услуги дизайнера в Кызылорде,/web-studiya/dizayn/kyzylorda,Услуги дизайнера и веб-дизайн в Кызылорде,Услуги дизайнера в Кызылорде | Raskrutov,"Дизайн для бизнеса в Кызылорде: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/kyzylorda,/web-studiya/dizayn; /web-studiya/kyzylorda; /keysy/sayty; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
171,3,SEO-продвижение,SEO-продвижение сайтов в Кызылорде,/seo-prodvizhenie-sajtov-v-kyzylorde,SEO-продвижение сайтов в Кызылорде,SEO-продвижение сайтов в Кызылорде | Raskrutov,"SEO-продвижение сайтов компаний в Кызылорде: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /seo-prodvizhenie-sajtov; /web-studiya/kyzylorda,/seo-prodvizhenie-sajtov; /web-studiya/kyzylorda; /keysy/prodvizhenie; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
172,3,AEO-продвижение,AEO/GEO-продвижение в Кызылорде,/web-studiya/aeo-geo-prodvizhenie/kyzylorda,AEO и GEO-продвижение в AI-выдаче в Кызылорде,AEO/GEO-продвижение в Кызылорде | Raskrutov,"Продвигаем компании из Кызылорда в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/kyzylorda,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/kyzylorda; /keysy/prodvizhenie; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
173,3,Контекстная реклама,Контекстная реклама в Кызылорде,/web-studiya/kontekstnaya-reklama/kyzylorda,Контекстная реклама в Кызылорде,Контекстная реклама в Кызылорде | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Кызылорде: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/kyzylorda,/web-studiya/kontekstnaya-reklama; /web-studiya/kyzylorda; /keysy/prodvizhenie; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
174,3,Лидогенерация,Лидогенерация в Кызылорде,/web-studiya/lidogeneratsiya/kyzylorda,Лидогенерация для бизнеса в Кызылорде,Лидогенерация в Кызылорде | Raskrutov,"Привлекаем целевые заявки для бизнеса в Кызылорде: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/kyzylorda,/web-studiya/lidogeneratsiya; /web-studiya/kyzylorda; /keysy; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
175,3,Поддержка сайтов,Поддержка сайтов в Кызылорде,/web-studiya/podderzhka-saytov/kyzylorda,Техническая поддержка сайтов в Кызылорде,Поддержка сайтов в Кызылорде | Raskrutov,"Техническая поддержка сайтов компаний в Кызылорде: обновления, безопасность, резервные копии, исправления и развитие проекта.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/kyzylorda,/web-studiya/podderzhka-saytov; /web-studiya/kyzylorda; /keysy/sayty; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
176,3,Digital-консалтинг,Digital-консалтинг в Кызылорде,/web-studiya/digital-konsalting/kyzylorda,Digital-консалтинг для бизнеса в Кызылорде,Digital-консалтинг в Кызылорде | Raskrutov,"Digital-консалтинг для бизнеса в Кызылорде: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Кызылорда), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/digital-konsalting; /web-studiya/kyzylorda,/web-studiya/digital-konsalting; /web-studiya/kyzylorda; /keysy; /sozdanie-saitov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-kyzylorde
177,3,Вебстудия Raskrutov,Веб-студия в Павлодаре,/web-studiya/pavlodar,Веб-студия в Павлодаре,"Веб-студия в Павлодаре: сайты, SEO и реклама | Raskrutov","Веб-студия Raskrutov в Павлодаре: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.",Региональный хаб,"index, follow после QA уникальности","CollectionPage, BreadcrumbList",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov-v-pavlodare; /web-studiya/dizayn/pavlodar; /seo-prodvizhenie-sajtov-v-pavlodare; /web-studiya/aeo-geo-prodvizhenie/pavlodar; /web-studiya/kontekstnaya-reklama/pavlodar; /web-studiya/lidogeneratsiya/pavlodar; /web-studiya/podderzhka-saytov/pavlodar; /web-studiya/digital-konsalting/pavlodar,/web-studiya; /sozdanie-saitov-v-pavlodare; /web-studiya/dizayn/pavlodar; /seo-prodvizhenie-sajtov-v-pavlodare; /web-studiya/aeo-geo-prodvizhenie/pavlodar; /web-studiya/kontekstnaya-reklama/pavlodar; /web-studiya/lidogeneratsiya/pavlodar; /web-studiya/podderzhka-saytov/pavlodar; /web-studiya/digital-konsalting/pavlodar
178,3,Создание сайтов,Создание сайтов в Павлодаре,/sozdanie-saitov-v-pavlodare,Создание сайтов в Павлодаре,Создание сайтов в Павлодаре под ключ | Raskrutov,"Создаём сайты для бизнеса в Павлодаре: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Павлодар), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /sozdanie-saitov; /web-studiya/pavlodar,/sozdanie-saitov; /web-studiya/pavlodar; /keysy/sayty; /sozdanie-saitov-v-pavlodare; /seo-prodvizhenie-sajtov-v-pavlodare
179,3,Услуги дизайнера,Услуги дизайнера в Павлодаре,/web-studiya/dizayn/pavlodar,Услуги дизайнера и веб-дизайн в Павлодаре,Услуги дизайнера в Павлодаре | Raskrutov,"Дизайн для бизнеса в Павлодаре: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Павлодар), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/dizayn; /web-studiya/pavlodar,/web-studiya/dizayn; /web-studiya/pavlodar; /keysy/sayty; /sozdanie-saitov-v-pavlodare; /seo-prodvizhenie-sajtov-v-pavlodare
180,3,SEO-продвижение,SEO-продвижение сайтов в Павлодаре,/seo-prodvizhenie-sajtov-v-pavlodare,SEO-продвижение сайтов в Павлодаре,SEO-продвижение сайтов в Павлодаре | Raskrutov,"SEO-продвижение сайтов компаний в Павлодаре: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Павлодар), BreadcrumbList, FAQPage (если FAQ видим)",P2,Региональные страницы — этап 2,Запланирована (региональное расширение),NEW,/web-studiya; /seo-prodvizhenie-sajtov; /web-studiya/pavlodar,/seo-prodvizhenie-sajtov; /web-studiya/pavlodar; /keysy/prodvizhenie; /sozdanie-saitov-v-pavlodare; /seo-prodvizhenie-sajtov-v-pavlodare
181,3,AEO-продвижение,AEO/GEO-продвижение в Павлодаре,/web-studiya/aeo-geo-prodvizhenie/pavlodar,AEO и GEO-продвижение в AI-выдаче в Павлодаре,AEO/GEO-продвижение в Павлодаре | Raskrutov,"Продвигаем компании из Павлодар в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Павлодар), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/pavlodar,/web-studiya/aeo-geo-prodvizhenie; /web-studiya/pavlodar; /keysy/prodvizhenie; /sozdanie-saitov-v-pavlodare; /seo-prodvizhenie-sajtov-v-pavlodare
182,3,Контекстная реклама,Контекстная реклама в Павлодаре,/web-studiya/kontekstnaya-reklama/pavlodar,Контекстная реклама в Павлодаре,Контекстная реклама в Павлодаре | Raskrutov,"Настраиваем контекстную рекламу для бизнеса в Павлодаре: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Павлодар), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/pavlodar,/web-studiya/kontekstnaya-reklama; /web-studiya/pavlodar; /keysy/prodvizhenie; /sozdanie-saitov-v-pavlodare; /seo-prodvizhenie-sajtov-v-pavlodare
183,3,Лидогенерация,Лидогенерация в Павлодаре,/web-studiya/lidogeneratsiya/pavlodar,Лидогенерация для бизнеса в Павлодаре,Лидогенерация в Павлодаре | Raskrutov,"Привлекаем целевые заявки для бизнеса в Павлодаре: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Павлодар), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/pavlodar,/web-studiya/lidogeneratsiya; /web-studiya/pavlodar; /keysy; /sozdanie-saitov-v-pavlodare; /seo-prodvizhenie-sajtov-v-pavlodare
184,3,Поддержка сайтов,Поддержка сайтов в Павлодаре,/web-studiya/podderzhka-saytov/pavlodar,Техническая поддержка сайтов в Павлодаре,Поддержка сайтов в Павлодаре | Raskrutov,"Техническая поддержка сайтов компаний в Павлодаре: обновления, безопасность, резервные копии, исправления и развитие проекта.",Гео-услуга,"index, follow после QA уникальности","Service (areaServed: Павлодар), BreadcrumbList, FAQPage (если FAQ видим)",P3,Региональные страницы — этап 3,Запланирована (региональное расширение),NEW,/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/pavlodar,/web-studiya/podderzhka-saytov; /web-studiya/pavlodar; /keysy/sayty; /sozdanie-saitov-v-pavlodare; /seo-prodvizhenie-sajtov-v-pavlodare
